repo	file	line	group	field	operator
GluPredKit	glupredkit/parsers/nightscout.py	69		created_at	gte
GluPredKit	glupredkit/parsers/nightscout.py	70		created_at	lte
GluPredKit	glupredkit/parsers/nightscout.py	80		created_at	gte
GluPredKit	glupredkit/parsers/nightscout.py	81		created_at	lte
GluPredKit	glupredkit/parsers/nightscout.py	88		dateString	gte
GluPredKit	glupredkit/parsers/nightscout.py	89		dateString	lte
GlycemicGPT	apps/api/migrations/versions/054_ns_entry_object_id_cursor.py	14		_id	gt
GlycemicGPT	apps/api/src/services/integrations/nightscout/client.py	28		<field>	gte
GlycemicGPT	apps/api/src/services/integrations/nightscout/client.py	692		{since_field}	gte
GlycemicGPT	apps/api/src/services/integrations/nightscout/client.py	718		_id	gt
GlycemicGPT	apps/api/src/services/integrations/nightscout/client.py	736		_id	gt
GlycemicGPT	apps/api/src/services/integrations/nightscout/client.py	763		_id	gt
GlycemicGPT	apps/api/tests/test_nightscout_client.py	415		dateString	gte
GlycemicGPT	apps/api/tests/test_nightscout_client.py	425		created_at	gte
GlycemicGPT	apps/api/tests/test_nightscout_client.py	435		created_at	gte
GlycemicGPT	apps/api/tests/test_nightscout_client.py	466		_id	gt
GlycemicGPT	apps/api/tests/test_nightscout_client.py	470		dateString	gte
GlycemicGPT	apps/api/tests/test_nightscout_client.py	486		_id	gt
GlycemicGPT	apps/api/tests/test_nightscout_client.py	487		dateString	gte
GlycemicGPT	apps/api/tests/test_nightscout_client.py	509		dateString	gte
GlycemicGPT	apps/api/tests/test_nightscout_client.py	510		_id	gt
GlycemicGPT	dev/README.md	292		id	eq
GlycemicGPT	dev/ns_emulator.py	1980		id	eq
GlycemicGPT	dev/ns_emulator.py	2327		id	eq
LoopFollow	LoopFollow/Controllers/Nightscout/BGData.swift	73		date	gte
LoopFollow	LoopFollow/Controllers/Nightscout/BGData.swift	76		type	ne
LoopFollow	LoopFollow/Controllers/Nightscout/CAge.swift	12		eventType	eq
LoopFollow	LoopFollow/Controllers/Nightscout/CAge.swift	13		created_at	lte
LoopFollow	LoopFollow/Controllers/Nightscout/IAge.swift	13		eventType	eq
LoopFollow	LoopFollow/Controllers/Nightscout/IAge.swift	14		created_at	gte
LoopFollow	LoopFollow/Controllers/Nightscout/IAge.swift	15		created_at	lte
LoopFollow	LoopFollow/Controllers/Nightscout/Profile.swift	13		startDate	lte
LoopFollow	LoopFollow/Controllers/Nightscout/SAge.swift	13		eventType	eq
LoopFollow	LoopFollow/Controllers/Nightscout/SAge.swift	14		created_at	gte
LoopFollow	LoopFollow/Controllers/Nightscout/SAge.swift	15		created_at	lte
LoopFollow	LoopFollow/Controllers/Nightscout/Treatments.swift	16		created_at	gte
LoopFollow	LoopFollow/Controllers/Nightscout/Treatments.swift	17		created_at	lte
LoopFollow	LoopFollow/Stats/StatsDataFetcher.swift	30		dateString	gte
LoopFollow	LoopFollow/Stats/StatsDataFetcher.swift	31		type	ne
LoopFollow	LoopFollow/Stats/StatsDataFetcher.swift	101		startDate	lte
LoopFollow	LoopFollow/Stats/StatsDataFetcher.swift	152		created_at	gte
LoopFollow	LoopFollow/Stats/StatsDataFetcher.swift	153		created_at	lte
LoopFollow	LoopFollow/Treatments/TreatmentsView.swift	649		created_at	gte
LoopFollow	LoopFollow/Treatments/TreatmentsView.swift	650		created_at	lte
LoopFollow	LoopFollow/Treatments/TreatmentsView.swift	1084		created_at	gte
LoopFollow	LoopFollow/Treatments/TreatmentsView.swift	1085		created_at	lt
NightscoutKit	Sources/NightscoutKit/NightscoutClient.swift	188		startDate	gte
NightscoutKit	Sources/NightscoutKit/NightscoutClient.swift	189		startDate	lte
NightscoutKit	Sources/NightscoutKit/NightscoutClient.swift	226		created_at	gte
NightscoutKit	Sources/NightscoutKit/NightscoutClient.swift	227		created_at	lte
NightscoutKit	Sources/NightscoutKit/NightscoutClient.swift	264		created_at	gte
NightscoutKit	Sources/NightscoutKit/NightscoutClient.swift	265		created_at	lte
NightscoutKit	Sources/NightscoutKit/NightscoutClient.swift	302		dateString	gte
NightscoutKit	Sources/NightscoutKit/NightscoutClient.swift	303		dateString	lte
Trio	Trio/Sources/Services/Network/Nightscout/NightscoutAPI.swift	77		dateString	gte
Trio	Trio/Sources/Services/Network/Nightscout/NightscoutAPI.swift	111	$and	enteredBy	ne
Trio	Trio/Sources/Services/Network/Nightscout/NightscoutAPI.swift	125		carbs	exists
Trio	Trio/Sources/Services/Network/Nightscout/NightscoutAPI.swift	133		created_at	gt
Trio	Trio/Sources/Services/Network/Nightscout/NightscoutAPI.swift	168		id	eq
Trio	Trio/Sources/Services/Network/Nightscout/NightscoutAPI.swift	196	$or	id	eq
Trio	Trio/Sources/Services/Network/Nightscout/NightscoutAPI.swift	200	$or	dateString	eq
Trio	Trio/Sources/Services/Network/Nightscout/NightscoutAPI.swift	231		id	eq
Trio	Trio/Sources/Services/Network/Nightscout/NightscoutAPI.swift	261		eventType	eq
Trio	Trio/Sources/Services/Network/Nightscout/NightscoutAPI.swift	262		duration	exists
Trio	Trio/Sources/Services/Network/Nightscout/NightscoutAPI.swift	270		created_at	gt
Trio	Trio/Sources/Services/Network/Nightscout/NightscoutAPI.swift	452		created_at	eq
cgmsim-lib	dist/load-activity.js	27		created_at	gte
cgmsim-lib	dist/utils.js	170		created_at	lte
cgmsim-lib	src/load-activity.ts	30		created_at	gte
cgmsim-lib	src/utils.ts	205		created_at	lte
nightguard	nightguard/external/NightscoutService.swift	1013		date	gt
nightguard	nightguard/external/NightscoutService.swift	1014		date	lte
nightguard	nightguard/external/NightscoutService.swift	1545		eventType	eq
nightguard	nightguard/external/NightscoutService.swift	1546		created_at	gte
nightguard	nightguard/external/NightscoutService.swift	1597		eventType	eq
nightguard	nightguard/external/NightscoutService.swift	1598		created_at	gte
nightguard	nightguard/external/NightscoutService.swift	1805		created_at	gte
nightscout-cgm-skill	scripts/cgm.py	492		date	lte
nightscout-cgm-skill	scripts/cgm.py	6324		created_at	gte
nightscout-cgm-skill	scripts/cgm.py	6448		created_at	gte
nightscout-cgm-skill	scripts/cgm.py	6627		eventType	eq
nightscout-cgm-skill	tests/test_pump.py	374		created_at	gte
nightscout-cgm-skill	tests/test_pump.py	462		eventType	eq
nightscout-reporter	lib/src/forms/print-user-data.dart	190		date	eq
nightscout-reporter	lib/src/settings/settings_component.dart	239		date	lte
nightscout-reporter	lib/src/settings/settings_component.dart	267		date	gte
nightscout-reporter	lib/src/start_component.dart	1005		startDate	gt
nightscout-reporter	lib/src/start_component.dart	1009		startDate	gte
nightscout-reporter	lib/src/start_component.dart	1010		startDate	lte
nightscout-reporter	lib/src/start_component.dart	1051		created_at	gte
nightscout-reporter	lib/src/start_component.dart	1051		eventType	eq
nightscout-reporter	lib/src/start_component.dart	1054		profilePlugin	ne
nightscout-reporter	lib/src/start_component.dart	1214		date	gte
nightscout-reporter	lib/src/start_component.dart	1215		date	lte
nightscout-reporter	lib/src/start_component.dart	1243		created_at	lt
nightscout-reporter	lib/src/start_component.dart	1244		created_at	gt
nightscout-reporter	lib/src/start_component.dart	1245		eventType	eq
nightscout-reporter	lib/src/start_component.dart	1258		created_at	gte
nightscout-reporter	lib/src/start_component.dart	1259		created_at	lte
nightscout-reporter	lib/src/start_component.dart	1307		created_at	gte
nightscout-reporter	lib/src/start_component.dart	1308		created_at	lte
nightscout-reporter	lib/src/start_component.dart	1320		created_at	gte
nightscout-reporter	lib/src/start_component.dart	1321		created_at	lte
oref-digital-twin	ingestion/client.py	118		{time_field}	gte
oref-digital-twin	ingestion/client.py	119		{time_field}	lte
oref-digital-twin	ingestion/tests/test_client.py	34		date	gte
oref-digital-twin	ingestion/tests/test_client.py	34		date	lte
oref-digital-twin	web/app.js	47		${field}	gte
oref-digital-twin	web/app.js	48		${field}	lte
oref0	bin/get_profile.py	64		eventType	eq
oref0	bin/nightscout.sh	165		enteredBy	eq
oref0	bin/nightscout.sh	240		type	eq
oref0	bin/nightscout.sh	245		enteredBy	eq
