vector_id,step,ground_truth,persistence,momentum,weighted-delta,iob-momentum,oref0-synth,captured
TV-001,5,91,91,98,94,96,91,91
TV-001,10,95,91,104,97,100,95,95
TV-001,15,100,91,110,100,104,99,100
TV-001,20,104,91,116,102,108,103,104
TV-001,25,108,91,122,105,112,107,108
TV-001,30,112,91,127,107,115,110,112
TV-001,35,115,91,131,109,119,113,115
TV-001,40,119,91,136,111,122,116,119
TV-001,45,122,91,140,113,124,118,122
TV-001,50,124,91,144,114,127,120,124
TV-001,55,127,91,147,116,129,122,127
TV-001,60,129,91,151,117,131,123,129
TV-002,5,89,89,95,92,94,89,89
TV-002,10,93,89,100,95,98,93,93
TV-002,15,96,89,105,97,101,96,96
TV-002,20,100,89,110,100,105,99,100
TV-002,25,103,89,114,102,108,102,103
TV-002,30,106,89,118,104,111,105,106
TV-002,35,109,89,122,106,114,107,109
TV-002,40,112,89,126,107,117,109,112
TV-002,45,114,89,129,109,119,111,114
TV-002,50,117,89,132,110,121,113,117
TV-002,55,119,89,135,112,124,115,119
TV-002,60,121,89,138,113,126,116,121
TV-004,5,91,91,103,98,100,91,91
TV-004,10,97,91,115,105,108,97,97
TV-004,15,104,91,126,112,115,103,104
TV-004,20,109,91,136,118,122,109,109
TV-004,25,115,91,146,124,128,114,115
TV-004,30,120,91,155,129,134,119,120
TV-004,35,125,91,163,134,140,123,125
TV-004,40,129,91,171,138,145,126,129
TV-004,45,132,91,179,143,150,129,132
TV-004,50,136,91,185,146,154,132,136
TV-004,55,138,91,192,150,158,134,138
TV-004,60,140,91,198,153,161,136,140
TV-005,5,86,86,95,92,93,86,86
TV-005,10,91,86,103,97,99,91,91
TV-005,15,96,86,111,101,104,95,96
TV-005,20,100,86,118,106,110,100,100
TV-005,25,104,86,125,110,115,103,104
TV-005,30,108,86,132,114,119,107,108
TV-005,35,111,86,138,117,123,110,111
TV-005,40,115,86,143,120,127,113,115
TV-005,45,118,86,149,123,131,115,118
TV-005,50,120,86,153,126,134,117,120
TV-005,55,122,86,158,128,137,119,122
TV-005,60,124,86,162,131,140,121,124
TV-006,5,129,129,156,150,152,129,129
TV-006,10,151,129,182,170,173,151,151
TV-006,15,171,129,206,188,192,170,171
TV-006,20,189,129,228,205,210,188,189
TV-006,25,205,129,249,221,226,204,205
TV-006,30,219,129,269,235,241,218,219
TV-006,35,232,129,288,249,255,231,232
TV-006,40,243,129,305,261,267,241,243
TV-006,45,252,129,321,273,279,249,252
TV-006,50,258,129,336,283,289,256,258
TV-006,55,264,129,350,293,299,261,264
TV-006,60,267,129,363,302,307,264,267
TV-007,5,134,134,151,149,151,134,134
TV-007,10,150,134,168,163,166,150,150
TV-007,15,165,134,183,177,181,165,165
TV-007,20,178,134,197,189,194,178,178
TV-007,25,190,134,211,201,206,190,190
TV-007,30,201,134,224,211,217,200,201
TV-007,35,211,134,235,221,227,210,211
TV-007,40,219,134,247,230,237,217,219
TV-007,45,225,134,257,238,245,224,225
TV-007,50,231,134,266,246,253,229,231
TV-007,55,235,134,275,253,260,233,235
TV-007,60,238,134,284,259,267,235,238
TV-008,5,156,156,172,172,173,156,156
TV-008,10,171,156,187,187,190,171,171
TV-008,15,185,156,202,201,205,185,185
TV-008,20,198,156,215,214,219,197,198
TV-008,25,209,156,228,226,231,209,209
TV-008,30,219,156,240,237,243,219,219
TV-008,35,228,156,251,248,254,227,228
TV-008,40,236,156,261,257,263,234,236
TV-008,45,242,156,271,266,272,241,242
TV-008,50,247,156,280,274,280,245,247
TV-008,55,251,156,289,281,288,249,251
TV-008,60,253,156,296,288,294,251,253
TV-009,5,174,174,194,193,194,174,174
TV-009,10,192,174,213,210,212,192,192
TV-009,15,208,174,230,226,228,208,208
TV-009,20,222,174,246,241,243,222,222
TV-009,25,235,174,262,254,257,235,235
TV-009,30,247,174,276,267,270,246,247
TV-009,35,257,174,290,279,282,256,257
TV-009,40,265,174,302,290,293,264,265
TV-009,45,272,174,314,300,302,271,272
TV-009,50,278,174,325,309,311,276,278
TV-009,55,282,174,335,317,319,280,282
TV-009,60,284,174,344,325,326,283,284
TV-010,5,189,189,205,206,207,189,189
TV-010,10,204,189,220,221,223,204,204
TV-010,15,218,189,235,235,237,218,218
TV-010,20,230,189,248,249,251,230,230
TV-010,25,241,189,261,261,264,241,241
TV-010,30,251,189,272,272,275,251,251
TV-010,35,260,189,283,283,285,259,260
TV-010,40,267,189,294,292,295,266,267
TV-010,45,273,189,303,301,304,272,273
TV-010,50,278,189,312,309,312,277,278
TV-010,55,282,189,320,317,319,280,282
TV-010,60,284,189,328,324,325,283,284
TV-011,5,193,193,200,202,203,193,193
TV-011,10,199,193,206,212,213,199,199
TV-011,15,205,193,213,220,222,205,205
TV-011,20,211,193,218,228,231,211,211
TV-011,25,216,193,224,236,239,216,216
TV-011,30,221,193,229,243,246,220,221
TV-011,35,225,193,234,249,252,224,225
TV-011,40,228,193,238,255,258,228,228
TV-011,45,231,193,243,260,264,230,231
TV-011,50,233,193,247,265,269,233,233
TV-011,55,235,193,250,270,273,235,235
TV-011,60,237,193,254,274,277,236,237
TV-012,5,211,211,225,225,226,211,211
TV-012,10,223,211,237,238,239,223,223
TV-012,15,234,211,249,250,251,234,234
TV-012,20,245,211,261,261,262,244,245
TV-012,25,254,211,271,271,273,253,254
TV-012,30,262,211,281,281,282,261,262
TV-012,35,268,211,290,290,291,268,268
TV-012,40,274,211,299,298,299,274,274
TV-012,45,279,211,307,305,306,279,279
TV-012,50,283,211,315,312,312,282,283
TV-012,55,286,211,322,318,318,285,286
TV-012,60,288,211,328,324,324,287,288
TV-013,5,194,194,189,194,194,194,194
TV-013,10,189,194,184,193,194,189,189
TV-013,15,185,194,179,193,195,185,185
TV-013,20,181,194,175,193,195,181,181
TV-013,25,178,194,171,193,195,178,178
TV-013,30,175,194,167,192,195,175,175
TV-013,35,173,194,164,192,195,173,173
TV-013,40,171,194,160,192,196,171,171
TV-013,45,170,194,157,192,196,170,170
TV-013,50,169,194,154,192,196,169,169
TV-013,55,169,194,152,191,196,169,169
TV-013,60,169,194,149,191,197,169,169
TV-014,5,207,207,210,211,212,207,207
TV-014,10,210,207,213,216,216,210,210
TV-014,15,212,207,215,219,220,212,212
TV-014,20,215,207,218,223,224,215,215
TV-014,25,217,207,220,226,228,217,217
TV-014,30,219,207,222,229,231,219,219
TV-014,35,220,207,224,232,234,220,220
TV-014,40,222,207,226,235,236,222,222
TV-014,45,223,207,228,237,239,223,223
TV-014,50,225,207,229,239,241,224,225
TV-014,55,226,207,231,241,243,225,226
TV-014,60,226,207,232,243,245,226,226
TV-015,5,185,185,174,178,178,185,185
TV-015,10,175,185,164,172,172,175,175
TV-015,15,167,185,155,166,167,167,167
TV-015,20,159,185,146,161,162,159,159
TV-015,25,152,185,138,156,157,152,152
TV-015,30,146,185,131,151,153,146,146
TV-015,35,141,185,123,147,150,141,141
TV-015,40,137,185,117,143,146,137,137
TV-015,45,134,185,110,139,143,134,134
TV-015,50,132,185,105,136,141,131,132
TV-015,55,130,185,99,133,138,130,130
TV-015,60,130,185,94,130,136,130,130
TV-016,5,173,173,168,168,168,173,173
TV-016,10,167,173,162,162,162,167,167
TV-016,15,161,173,157,157,158,161,161
TV-016,20,156,173,152,153,153,156,156
TV-016,25,151,173,148,148,149,151,151
TV-016,30,147,173,144,144,146,147,147
TV-016,35,144,173,140,141,142,143,144
TV-016,40,141,173,136,137,139,141,141
TV-016,45,139,173,133,134,137,138,139
TV-016,50,137,173,129,131,134,137,137
TV-016,55,136,173,127,129,132,136,136
TV-016,60,136,173,124,126,130,136,136
TV-017,5,112,112,124,115,116,112,112
TV-017,10,104,112,136,119,120,114,104
TV-017,15,98,112,147,123,124,117,98
TV-017,20,92,112,157,126,128,119,92
TV-017,25,87,112,166,129,131,121,87
TV-017,30,83,112,176,132,134,123,83
TV-017,35,80,112,184,134,137,125,80
TV-017,40,77,112,192,136,140,126,77
TV-017,45,75,112,199,139,142,127,75
TV-017,50,74,112,206,141,144,128,74
TV-017,55,73,112,213,142,146,129,73
TV-017,60,74,112,218,144,148,129,74
TV-018,5,88,88,84,82,84,88,88
TV-018,10,79,88,80,76,79,84,79
TV-018,15,70,88,76,71,75,79,70
TV-018,20,63,88,72,66,72,76,63
TV-018,25,56,88,69,61,69,72,56
TV-018,30,51,88,66,57,66,70,51
TV-018,35,46,88,63,53,63,67,46
TV-018,40,43,88,60,50,61,65,43
TV-018,45,40,88,57,46,59,64,40
TV-018,50,39,88,55,43,57,63,39
TV-018,55,39,88,53,40,55,62,39
TV-018,60,39,88,51,38,54,62,39
TV-019,5,77,77,62,65,67,77,77
